Id,GrLivArea,SalePrice
1,1710,208500
2,1262,181500
3,1786,223500
4,1717,140000
5,2198,250000
6,1362,143000
7,1694,307000
8,2090,200000
9,1774,129900
10,1077,118000
11,1040,129500
12,2324,345000
13,912,144000
14,1494,279500
15,1253,157000
16,854,132000
17,1004,149000
18,1296,90000
19,1114,159000
20,1339,139000
21,2376,325300
22,1108,139400
23,1795,230000
24,1060,129900
25,1060,154000
26,1600,256300
27,900,134800
28,1704,306000
29,1600,207500
30,520,68500
31,1317,40000
32,1228,149350
33,1234,179900
34,1700,165500
35,1561,277500
36,2452,309000
37,1097,145000
38,1297,153000
39,1057,109000
40,1152,82000
41,1324,160000
42,1328,170000
43,884,144000
44,938,130250
45,1150,141000
46,1752,319900
47,2149,239686
48,1656,249700
49,1452,113000
50,955,127000
51,1470,177000
52,1176,114500
53,816,110000
54,1842,385000
55,1360,130000
56,1425,180500
57,1739,172500
58,1720,196500
59,2945,438780
60,780,124900
61,1158,158000
62,1111,101000
63,1370,202500
64,1710,140000
65,2034,219500
66,2473,317000
67,2207,180000
68,1479,226000
69,747,80000
70,2287,225000
71,2223,244000
72,845,129500
73,1718,185000
74,1086,144900
75,1605,107400
76,988,91000
77,952,135750
78,1285,127000
79,1768,136500
80,1230,110000
81,2142,193500
82,1337,153500
83,1563,245000
84,1065,126500
85,1474,168500
86,2417,260000
87,1560,174000
88,1224,164500
89,1526,85000
90,990,123600
91,1040,109900
92,1235,98600
93,964,163500
94,2291,133900
95,1786,204750
96,1470,185000
97,1588,214000
98,960,94750
99,835,83000
100,1225,128950
101,1610,205000
102,1732,178000
103,1535,118964
104,1226,198900
105,1818,169500
106,1992,250000
107,1047,100000
108,789,115000
109,1517,115000
110,1844,190000
111,1855,136900
112,1430,180000
113,2696,383970
114,2259,217000
115,2320,259500
116,1458,176000
117,1092,139000
118,1125,155000
119,3222,320000
120,1456,163990
121,988,180000
122,1123,100000
123,1080,136000
124,1199,153900
125,1586,181000
126,754,84500
127,958,128000
128,840,87000
129,1348,155000
130,1053,150000
131,2157,226000
132,2054,244000
133,1327,150750
134,1296,220000
135,1721,180000
136,1682,174000
137,1214,143000
138,1959,171000
139,1852,230000
140,1764,231500
141,864,115000
142,1734,260000
143,1385,166000
144,1501,204000
145,1728,125000
146,1709,130000
147,875,105000
148,2035,222500
149,1080,141000
150,1344,115000
151,969,122000
152,1710,372402
153,1993,190000
154,1252,235000
155,1200,125000
156,1096,79000
157,1040,109500
158,1968,269500
159,1947,254900
